Sentence,Category
My profound apologies to Ganga Maa for not being able to perform Aarti today. Wish these people know that a Mother's love is above politics,NAG
I appeal to my Karyakarta sisters & brothers to maintain peace & ensure that people do not face any difficulty,NAG
I am overwhelmed by people's response! I assure them we will repay their affection with unprecedented development,NAG
Concluded the campaign for 2014 Lok Sabha elections with a massive rally in Ballia in UP. I thank people for the wonderful response,NAG
8 months 5800+ rallies Charchas programmes 3 lakh+ KMs an extensive innovative & satisfying journey. My blog http://nm4in/1nslV0s,NAG
There is something in India's soil that makes India special. Our destined role of Jagat Guru calls. Lets create a strong & developed India!,NAG
It is unfortunate that EC is not concerned about the institution's neutrality & that is why our Karyakartas have to embark on a Satyagraha,CAG
Under Atal ji India scripted a new chapter in our history & gave a strong message to the world with the success of the Tests in Pokhran,NAG
At the Rohaniya rally Col Nizamuddin joined us. He is over 100 years old & devoted his life to the nation by joining the Azad Hind Fauj,NAG
Our Scientists are our strength and will help shape our future in this Knowledge Era with both Defence and Civilian Impact,NAG
My greetings to the nation & the scientist community on National Technology Day marking the anniversary of the Pokhran Tests of 1998,NAG
There are people sitting in AC rooms who say we are fatigued due to duration of polls but mood on the ground suggests otherwise,CAG
From tourism to giving better opportunities to Varanasi's weavers there is lots to be done & am sure with our efforts we will succeed,NAG
For me Varanasi election is not only about electing a new MP. I am here to bring a qualitative difference in lives of Varanasi's citizens,NAG
A video was shared in Rohaniya on how Sabarmati's glory is restored. We are committed to do the same with Ganga,NAG
Today was the final round of the Bharat Vijay 3D rallies. In all the rounds I addressed people from over 1300 locations across India,NAG
"As a Party President using terms like ""Unch"" & ""Neech"" does not suit Madam. Is the fear of defeat so much that she has to say such things?",CAG
Despite Congress efforts to bring caste & communal politics in campaign we remained focussed on our agenda of development & good governance,CAG
Kerala Minister who came to meet me was reprimanded. Cong leader wanted Lata ji's Bharat Ratna taken back. This is politics of untouchability,OAG
Tests of 1998 were a victory of technology & the nation's willpower. Our scientists worked very hard to develop Nuclear Programme,NAG
Sharing my last year's Blog that contains portions of Atal ji's historic speech of 1998,NAG
NDA's foreign policy also ensured that those nations opposed to India testing gradually developed strong ties with India in various fields,NAG
From Day 1 Congress' attitude to Elections has been non-serious. They talked about everything apart from core issues & what they did in Govt,CAG
