"NBCC has a very good order book but will that over a period time keep translating in to higher stock value .    ut","NAG"
"the power makes staunchest of  mony mokrss but called intellectuals, specially the film makers or pseuo politiians but corrupt clerks of uno and accusd of murdering beautyfulwife or pseudo sculars,chang their names and kp hindu names lik dilep,ajit,mahipal---the list is long even what to talk of colours","OAG"
"This is the reason why this guy has less subscribers than other shitty
channels on this platform  
People nowdays don't want to hear the truth and the one know and talk like him
and has has a viewpoint like him are 1 in 1000","NAG"
"@Utkarsh Singh not all illiterates have ethics. It depends on a individuals
sanskar and genetics. And what he/she has been exposed to since they were a
child. For ex: an abusive father who would lay hands on his wife.","NAG"
"Arjun reddy aka kabir singh is a master pieceðŸ˜.","NAG"
"Fool.... 
Not even your government is not worth to print notes with out mistake. 
What hard work is this","CAG"
"Its the government's duty to do that..not for me to suggest nor any use now in doing so.","CAG"
"Why give importance to her nonsensical utterances? No talks, only arrest her.","NAG"
"How stupid comment is that. What does she want to express ? Working women treat their kids as puppy. She got married only after completing education so how much she knows about balancing work with family ?? Without knowing things this kind of comment is totally unacceptable.","OAG"
"This is how people die  with so many accidents","NAG"
"I dont completely agree or disagree with sonu ji. Loudspeakers shouldnt be allowed. Plus the argument that same inconvenience is caused isnt fair. Those instances in the hindu festivals are rarely 15-20 days per year. Whereas azaan is given on the loudspeakers EVERYDAY about twice or thrice. But then again it shouldnt be turned into a religion/anti religion debate. Its more about public convenience or noise nuisance.","OAG"
"NiCE","NAG"
"But it seems the pill got  stuck Ã¬n the throat of the doctor  himself!","CAG"
"Idiots voted them. Let them suffer. I will enjoy the show. :)","OAG"
"This anti nation lady is misguiding the peoples and telling lies,arrest this
type of activites","NAG"
"Bajaj is an Indian company and I believe this launch is here in India itself otherwise it won't make any sense. Now when in India why in the world should they put these songs we don't understand!","CAG"
"Not a big deal... being glamorous doesn't pay..burning your sweat day in and day out making something worthwhile and bringing fame to your nation at international podium is indeed praiseworthy! And not by shaking your legs and showing how sexy you can be!","OAG"
"Nice Video","NAG"
"Lolz and Donald Trump is going to act on your request. â˜ºâ˜ºâ˜º","CAG"
"Dirty politics plays by Pakistan","OAG"
"Your words is a huge admission that you were, are & will remain irrelevant in this country.  This country no longer supports your version of secularism.","CAG"
"So BAT men killed 'em","CAG"
