Sentence,Label
"""Asked if these files of historic value were saved or junked an official expressed ignorance""",0
I have to say this. Without a civilian government in place we Kashmiris studying outside J&K feel orphaned. There is no one to advocate our cause in official capacity. Ex CMs have been helping out in their personal capacity. We crave someone who would fiercely advocate our cause,0
Ladies and Gentlemen This man wants to get away with the #RafaleScam by hiding behind his caste #ChowkidarChorHai aur rahega irrespective of which caste or creed you belong to Modiji. You didn't remember caste when you looted 30000 crores with Ambani?,2
Just curious - are the BJP leaders sitting on dharna going to be called anarchists? #BJPDrama #AAPKranti,1
US President Barack Obama congratulates @narendramodi for his electoral victory. He is welcome in White House now. That's Modi's Visa Power!!!,0
At many places in Maharashtra complaints are arising in related to the EVM machines are not functioning at all. Election Commission should take congnizance and should increase the time for voting where machines are malfunctioned. @SpokespersonECI @ECISVEEP @CEO_Maharashtra,0
@AManippady the perfection of your ignorance is almost admirable,1
Everyday a more innovative way is developed to humiliate us. To brand someone like cattle is cruel unusual & dehumanising. We're not chattel we're HUMAN. (Let's not pretend there's any other reason why Nabbir was branded with this specific symbol),2
@aparanjape @bibekdebroy justice jivan Lal Kapur known as Kapur commission n findings Savarkar was involved in the killing of Mahatma Gandhi,0
Destroying files on Modi's orders: Have we lost parts of Indian history forever? http://tinyurl.com/q6am3wf,1
@del_irani Biggest hurdle to reducing corruption is funding of elections by black money and corporate funds #NextGovIndia,0
@_YogendraYadav told @amitmalviya that his grandfather was killed by a Muslim mob but his father was a Gandhian who chose the path of peace not violence,0
Engagement with Pakistan smacks of double standards. But nevertheless a welcome diplomatic move. Diplomacy and politics are different mr PM,1
This is a worst kind of vote back politics. The EC should take suo motu cognisance of this and initiate proper action,2
Kashi has just seen a nautanki a farce by Arun Jaitley and Amit Shah. They could not bear heat of Varanasi,2
The only socio-pol issue is they don't want any Hindu there. How is this not a religious issue? Only Hindus had to leave their own land how is this not a religious issue? Kashmir was always a Prime Hindu Seat of Knowledge. Today its an Islamic region. Isn't it a religious issue?,1
"Now the turncoat protagonists of ""Change"" have once again joined the older puppet parties whom they would badmouth every single day!",1
WE THE PEOPLE OF INDIA (with more than 2.6 trillion US$ Economy) are well aware of PIG's Like Mentality & Attitude of A News Channel From The Nation Of Beggar's Whose PM is roaming around the Globe for few billion Dollars with begging bowl in his hands,2
