Sentence,Label
Mr. Prateek Nishant.....secure method? ,1
Sane ppl couldn't do anything so far ....at least he has the objectives and know what's to be done so that our country  leads towards a bright and  better future... ,1
Moreover that idiot is fan of Terrorist Yakub Menon ,2
Shame shame & then these lowly so called educated civilised popation of Pakistan claim Pakistani army to be professional soldiers .... They true are professionals but are professional terrorists ..... Certainly not soldiers .... Not only India & Indians but the global world is now understanding & recognising them as professional terrorists. ,2
"I completely agree with your viewpoint.
But look at this from another perspective, the normal human character that we
are discussing in the video, it's basically the life that we are living, what
these movies are based upon the saying is 'the grass is always greener on the
other side' so in 2-2.5 hours in which a person is paying money to get
entertained, he wants to take a break from his current life and now if this
break is in some sort of fantasy-fabicated-reality then there is nothing wrong
in it. ",0
What a covering Ã°Å¸Â¤â€Ã°Å¸Â¤â€Ã°Å¸Â¤â€Ã°Å¸Â¤â€ ,1
He is pimp of bjp ,2
No exceptions ,0
I'm your Big fan ,0
Congratulations Jitu.   Excellence through hard work is your moto.  You are able to achive it.   Thanks ,0
We have to hang our head in shame with the so called elected representatives behavior. ,2
When interest rates are historically low in all these countries demand is this dismal imagine what will happen when interest rates going to reverse ... ,0
Very good review ,0
GAURAV REPLY ,0
Shri Vaishak S  are we living for tit for tat? its same everywhere in the country as well around the Glob. NE just an example of our own. ,2
Anthony.... not all u read is true.... everybody has a viewpoint... you speak what you feel and i will say what i feel. . you are right coz thats ur viewpoint and i am right coz this is my viewpoint... Every individual should speak for themselves. let not make other speak what we feel is right or wrong... let people decide if the country is changing for good or for bad. ,1
Nick ,0
You are too good...... ,0
Superb movie ,0
Throw them out of India as well ,2
Arjun reddy aka kabir singh is a master pieceÃ°Å¸ËœÂ. ,0
He is bought up by bjp ,1
"[0:30](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=0m30s) yes yes you are
Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£Ã°Å¸â€˜Â  
Love ya bro. ",0
"Hai cnbc tv 18.....brain game do watch National geographic channel there by you can recognise true and false facial image created examples actors , false smiles , etc.........muscles of your face . your brain is also highly adopt at recognizing what other peoples' faces are saying...now match your candidate also ...this comments in totality not for any particular subject please . ",1
"Open retaliation is must not commando surgical strike operation .
Direct attack on Pakistan is must and kill 1-2 lac soldiers of Pakistan. ",1
"Iam straight. Bt am really happy for u all, who r open minded about their
sexuality. And congrats for ur victory... ",0
So that Modi doesnt have to campaign separately... Feku and his never ending gimmicks ,1
Super man ,0
RSS agent ,1
Sirish Bundar is very intelligent .. no wonder SRK had to slap some sense into him ,2
Are fucker Holly ar fresh ki same ??? ,0
Please visited my channel enjoy hot sex video ,0
He should banned for Railways and in all public transport. ,2
"Kumar Gaurav
It's good for you atleast you wake up at 5am in morning ",1
"Mediocracy meets perfection, there comments are nothing but Karan's insecurities. She put it on a plate for him, he still doesn't get it. She said comments like these only inspire her to work harder not run away you fool. ",1
When the theater is almost house full and u wanna watch bahubali 2 :p ,0
Burnol plz ,1
*are ,0
"dont blame her,  
she is in tripping mode ",0
"Such a great video shwetabhbhai keep making this kind of videos,i hope this
video gonna viral so, people could understand what's the reality ",0
