Sentence,Category
Spent time with my Mother and sought her blessings,NAG
Our Constitution is a rich and extensive social document that encapsulates the dreams our freedom fighters had for the nation. Our only loyalty is to the Constitution and the values enshrined in it,NAG
We bow to Veer Savarkar on his Jayanti. Veer Savarkar epitomises courage patriotism and unflinching commitment to a strong India. He inspired many people to devote themselves towards nation building,NAG
Thankful to the people of Ahmedabad for coming to bless us this evening,NAG
For 70 years India's poor were betrayed. In the last 5 years an effort was made to change this culture. Similarly for 70 years minorities were treated only as vote banks. 'Sabka Saath Sabka Vikas Sabka Vishwas' aims to correct this wrong and work towards real empowerment.,CAG
I thank colleagues of the BJP and NDA for placing their faith in me and electing me to lead the NDA in Parliament. We will work together as a team and contribute to India's development trajectory,NAG
The hallmark of a New India is the absence of VIP culture. We have set this trend and are determined to pursue it in the times to come,NAG
The NDA represents the best of India. Our alliance has both energy and synergy. This is an alliance that will fulfil regional aspirations and cater to national ambitions,NAG
A blessed day in Kashi. Prayed at the Kashi Vishwanath Temple. Interacted with hardworking BJP Karyakartas who have earnestly worked for the party's historic win in the elections. Truly humbled by people's affection,NAG
We are immensely proud of India's culture. Similarly we are also optimistic about India's future. We are working to create an India that is powerful and prosperous empowered and inclusive,NAG
Located in Khanpur in Ahmedabad the BJP headquarters has witnessed many landmark events. It was from here that BJP grew rapidly across Gujarat and won people's trust. My visit to the headquarters brought back many memories and gave an opportunity to interact with Karyakartas,NAG
The 2019 Lok Sabha elections saw a pro-incumbency vote. Chemistry prevailed over old-school arithmetic,NAG
Another stunning @narendramodi & @AmitShah partnership tracerbullets @BJP4India to poll position for second time running. Election results further reaffirm Modi Ji's leadership of the world's largest democracy. Awesome performance #ModiSweep #IndianElections2019 #VijayiBharat,NAG
BJP is firmly committed to democratic values. Which is why whenever BJP forms the Government in a state the Opposition gets proper respect. This is unlike places where non-BJP parties rule and subvert dissenting voices,CAG
Congratulations @narendramodi for achieving marvellous faith of max citizens of India inspite of so much hatred campaign. I always experienced d spiritual aura around u n a selfless dedication inspiring others to contribute their bit for # new india god bless u Modi ji,NAG
