"what a wicket !!!!!!!!! woohooooo #indvsuae #wontgiveitback #cwc15 #bleedblue","NAG"
"Saurabh Shinde wht does that mean at least he should ist confermed wht the reality is .......","CAG"
"the power makes staunchest of  mony mokrss but called intellectuals, specially the film makers or pseuo politiians but corrupt clerks of uno and accusd of murdering beautyfulwife or pseudo sculars,chang their names and kp hindu names lik dilep,ajit,mahipal---the list is long even what to talk of colours","OAG"
"Arjun reddy aka kabir singh is a master pieceðŸ˜.","NAG"
"kumar is becoming like shazia limi. so quit aap and join with her.","OAG"
"Where is Anna ji....hibernating or cursing arvind kejriwal","OAG"
"Red Salute Comrade #KanhaiyaKumar #StandWithJNU #JNUonHungerStrike #NeverSettleForSomethingVictoryOrNothing https:// youtu.be/E4B--VNDqCA","NAG"
"Phone sex 09777070288 IAm from Odisha state bhubaneswar iam just 24yr IAm
specialist body Massagboy home services available first demo free service
available","NAG"
"MS Dhoni, Ajinkya Rahane and KL Rahul opted to bat at the nets while Virat Kohli and most of the others players skipped the practice session.","CAG"
"Savage.! ðŸ˜‚ðŸ˜‚","CAG"
"Bhai Walk the line aur Revolutionary Road dekho. They have won Academy awards!
Aur inki khujli ho Rahi hai!","NAG"
"@Not Creepy lol ðŸ˜‚ðŸ˜‚ðŸ˜‚","NAG"
"Amazing video bhai","NAG"
"Who is shirish kunder..???
As if ppl knows him n will listen to himðŸ˜‚ðŸ˜‚ðŸ˜‚...bolo Jai Shree Ram","CAG"
"arun  kumar idiot  .......you  don't  worry  kerala","OAG"
"Preeti Sikka: Wants to know your location","NAG"
"Bhai south Korea ko deko tab Pata lakai ka polici wrong hai","NAG"
"Best Review bhai","NAG"
"((((((((Kabir singh affected by phyton spirit.)))))))))","NAG"
"Country's mp should be dumb like mammohan singh","OAG"
"Ramachandra Guha the twisted marxist goon has taken over BCCI. No wonder Sehwag has bowed down.","CAG"
"tt india 08:24 1.#indvspak 2.#mustwatchmsg 3.#wivire 4.#à¤œà¤¯à¤¹à¤¿à¤¨à¥à¤¦ 5.rega jha 6.#lovedparentsworshipday 7.congrats team india 8.giroud","NAG"
"Shahid is best 300cr blockbuster movie","NAG"
"Well said sirðŸ‘Œ","NAG"
"Wht will u debate pathare","NAG"
"Nice dipika...","NAG"
"You are Right Vhaiya.","NAG"
"I respected ur voice...u proved that u r not the follower of Mohd. rafi.....even rafiz could have slaped  on u on this statement.....wat about ur concerts....wat about ur songs wen people play on their weddings....shame","CAG"
"we:XXX Bangladesh","NAG"
"Super ðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘Œ","NAG"
"arjun reddy was also a morally ethically destructive film ...","NAG"
"Well said Ahmed Razeen. Appreciated.","NAG"
"Mandira Chaudhary good","NAG"
"Ayushmann khurana nawazuddin siddique rajkumar Rao are really good actors","NAG"
"Congress people come to Parliament everyday to get insulted ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚","CAG"
"Where were the rakshaks???","CAG"
"Yes sahi bola gay in Right","NAG"
"Love from bdðŸ’–ðŸ’–ðŸ‡§ðŸ‡©","NAG"
"patakhe bajenge but india mai hee #indvspak","NAG"
"#indvsuae ind won by 9 wkts ind 104/1 (18.5 ovs) rohit sharma* 57 (55) virat kohli 33 (41) uae 102 (31.3 ovs) mohammad tauqir* 2.5-0-21-0","NAG"
"Sir please review IRU MUGAN ðŸ™ðŸ»ðŸ™ðŸ»","NAG"
"Also, ABVP must apologise to Kanhaiya Kumar, and pay him compensation for defamation. 
http://indiatoday.intoday.in/story/kanhaiya-kumar-jnu-sedition-row-anti-national-slogan-clean-chit/1/893997.html?sr=fbia","CAG"
"waiting for new #maukamauka advt @starsportsindia #cwc2015 #indvsuae","NAG"
"GaNgss Of wassepur Fanss Hit A like....ðŸ˜‚ðŸ˜‚ðŸ˜‚","NAG"
"@mr gojiya hlo ji","NAG"
"She mentioned Godi Media, now they are doing their job to debate upon. Let
debate on Modi lie on RAM leela speech.  
Ish meh b anchor included Congress again","NAG"
"Sonu wants national awards","OAG"
"I lov ur video dada. ......","NAG"
"Send gau Rakshk... I think they can track down terrorists","CAG"
"Ram NATH ji Goenka must be feeling shame on his successors...","OAG"
"chalo lets see aapna vasai boy ""swapnil patil"" for uae #indvsuae #cwc15","NAG"
"Nice Snper Good","NAG"
"how come MR.DIGVIJAY SINGH comes to know everything even b4 the CID OR POLICE. Is he ANTARYAMEE","CAG"
"me chala fc road #pune #indvspak #indwins","NAG"
