Sentence,Category
R yu in ur dreams.. yu have lost 3 wars from us lol.. even our ambani can buy ur full pakistan,OAG
"Very nice sir 
U have done excellent job
GOD BLESS U EVER SIR",NAG
"Frank Ezung. And you must be a namak haram

Don't talk about intire north east
Just say about your self",OAG
"Great work  
Hatss of to u sir....big fan of yoursÃƒÂ°Ã…Â¸Ã‹Å“Ã…Â ",NAG
"8505050887#get_immediately_solution_for_your_all_problem_contact_now & whatsapp
Vashikaran, love marriage, love problem, family problem, husband wife problem, business problem, child problem
#solution_with_100% guarantee",NAG
No he didnt try...he did it for up electionsÃƒÂ°Ã…Â¸Ã‹Å“Ã¢â‚¬â„¢ÃƒÂ°Ã…Â¸Ã‹Å“Ã¢â‚¬Ëœ,CAG
After long time quality video,NAG
Every day top congress leaders lie to the country. Congress has not collapsed politically but fallen to the lowest level ethically,OAG
Bang on!!!,NAG
But in.pune location wipro bpo use to hire people on 3rd party payrole and in f c road location those employees are treated as hell,NAG
"This is how they provok for creating religious riot, so my fellow human know this demon fact and stay way",OAG
"Look who is talking :)

Last year, the singer, was caught in a controversy over singing on a Jet Airways flight using the airplane's public announcement system. As a result of his nuisance, the aviation regulator and the airline suspended five cabin crew members .",OAG
Nobody will talk about the Muslim goons who threw acid bombs & stones at the procession,OAG
I like your comment especially the last part lol ÃƒÂ°Ã…Â¸Ã‹Å“Ã¢â‚¬Å¡,CAG
How the hePakistani soldier mutilates an Indian BSF jawan? By entering in to loc? Don't make fool of your nation. Drama bazi.,NAG
Anna know nothing. He is.illiterate old man now useless.,OAG
One Book wonder ...,NAG
Tributes to Veer Savarkar on his birth anniversary. We remember & salute his tireless efforts towards the regeneration of our Motherland,NAG
"If you are a man of understanding, then only read this or you can ignore my comment. The lack of space for any political dialogue pushes people to take up gun. The likes of Yasin Malik had given up gun in 90's because they were promised a dialogue by India. Unfortunately India has a habit of breaking promises. From Nehru's Plebiscite promise to India's dialogue promise.",CAG
Chidambaram accuses MP & Gujarat of not allowing GST to materialize. Right we're proud of it. It would have been disaster in present form,OAG
Wonderful videoooo I like it,NAG
He is describing the bike to his wife to buy,CAG
Political parties are allowed to deposit old notes. .they are exempted why?,CAG
"Kangana is a victim of the mother who gave her birth. She is the victim of woman that she is. She is the victim of life she has. She is the victim of everything n everybody. Lastly, she will be the victim of her death.",OAG
"Hope he got ""business class"" seats there!!! Lol",CAG
"She should be arrested man as simple as that. If I have the power I will throw
her out of my country. People like this are virus to any nation. They will not
let the nation strong and united. They are the type leaders live with the moto
""DIVIDE AND RULE""",OAG
"but here is opposite bro.. if case get false then women is not punished. in
extra men has suffered a lot",NAG
Someone from Varanasi told me what he heard at a kachori shop today. Ek poori Do Samosa Modi Tera Kya bharosa,CAG
"You can beat aaj tak in the trp 
Keep it up",CAG
And Modi has fulfilled your hopes by constituting LOKPAL....your main motive towards India-against-corruption agitation was to depose the congress government.....,CAG
Am waiting eagerly for a reply. Either you are a member of a free press with all its privileges or you are a cheap mouthpiece of a politician. And the favours they give,CAG
Sanchari Chakraborty I heard this news on ABP Ananda that Bikram and Ms Chauhan were returning from a party and both of them were drunkened .... Don't be so intolerant....,OAG
they r not activist or student they r agents of foreign funded ngos... who need to put in jail under NSA....,OAG
Arnab is anchor or from BJP. More loyal to the king than the king himself.,NAG
"They want nation to become a superpower .
Becoming a superpower didn't only mean u make missile launch satellite or get million of foreign investment .where is infrastructure where the hell majority of population getting basic facility like healthcare. Water and education. 
Jst increase unemployment  .......",OAG
Isnt it's her choice to work or not? She and only should decide what best for her not others,CAG
"Great!!
AAPtards are abusing the man who gave that dumbshit Arvind Kejriwal and identity!!!
Seriously, Anna Hazare will be feeling pity on himself :( :( :( :(",CAG
What happened to breaking a coconut ! It was much simple and quick,CAG
Steven he is showing y tis present is in trouble.. as u dnt knw who n y dey dug tis!!!!,CAG
Heartfelt Condolences to families of martyrs & may they rest in peace. I feel deep sorrow when such unfortunate incidents happens & our coward politicians start a revenge rant. Not to offend anyone but i heartily wish that every kin of our useless politicians suffer such horrific deaths which will make these scumbag thugs realise how it feels.,NAG
"Drammebaj, Annaji. You ran from battlefield when in job and then misled people on black money, Lok Pal.
What is your standing now?",CAG
Kagji hero and he will be zero. Why Kumar didn't fight election to know his status,CAG
Interstellar great movie,NAG
Just osm,NAG
@GargiRawat @ArvindKejriwal @attorneybharti this bharti nutcase ds not deserve to be in any political party. What a nutcase. Seriously,OAG
"I haven't watched a single bollywood film in the last 1.5 years.  
  
Please make a video on Joker (2019).  
  
Would love to hear your opinion.",NAG
"I cannot understand how a government is sparing a antinational element
Arundhati Roy ? Her this coment is enough to be prosecuted in NIA .",NAG
was that kamran akmal at long-on? #catchdrop #indvspak,NAG
@Gopal Adwani thank you ÃƒÂ°Ã…Â¸Ã‹Å“Ã…Â½,NAG
He is only Dick .,OAG
"ÃƒÂ°Ã…Â¸Ã¢â‚¬ËœÃ¢â‚¬Å¾ BotÃƒÂ°Ã…Â¸Ã…Â½Ã…Â½ PoweredÃƒÂ°Ã…Â¸Ã…Â½Ã¢â‚¬Â¦ ByÃƒÂ°Ã…Â¸Ã‚ÂÃ‚Â© PrinceÃƒÂ°Ã…Â¸Ã¢â‚¬ËœÃ‚Â· Fadii

ÃƒÂ°Ã…Â¸Ã‚ÂÃ‚Â¨ See My Bot Speed  ÃƒÂ°Ã…Â¸Ã‹Å“Ã‚Â½ India TV
ÃƒÂ¢Ã¢â€žÂ¢Ã‚Â¥ c h ÃƒÅ½Ã‚Â± ÃƒÂÃ¢â‚¬Â¦ ÃƒÅ½Ã‚Â´ h r ÃƒÂÃ‹â€  s ÃƒÂ°Ã…Â¸Ã…â€™Ã‚Â¹ ÃƒÅ½Ã‚Â² ÃƒÅ½Ã‚Â¿ ÃƒÂÃ¢â‚¬Å¾ ÃƒÂÃ¢â‚¬Å¾ ÃƒÅ½Ã‚Âµ r ÃƒÂ¢Ã¢â€žÂ¢Ã‚Â¥
ÃƒÂ°Ã…Â¸Ã‚ÂÃ‚Â¢ Saturday : 29 - April - 2017
ÃƒÂ°Ã…Â¸Ã‚ÂÃ‚Â¨  Like BackÃƒÂ¢Ã¢â€žÂ¢Ã‚Â¥ India TV
ÃƒÂ°Ã…Â¸Ã‚ÂÃ‚Â¥ comment Late  58 detik :)
 ÃƒÂ°Ã…Â¸Ã‚ÂÃ‚Âª  Auto Comment By    Prince Fadii
 ÃƒÂ°Ã…Â¸Ã‚ÂÃ‚Â¯ ÃƒÂ°Ã…Â¸Ã¢â‚¬ÂÃ…Â½ Baby-Bot.tk ÃƒÂ°Ã…Â¸Ã¢â‚¬â„¢Ã‚Â¡",NAG
It is high time the Indian military to take some retaliatory strikes to check Pakistan from misadventures.,OAG
Ever saw them marching with multitude of this proportion? In a wasteland of seclusion smug about screen presence Modi-baiters losing pulse,CAG
Don't bring up abrupt stupid topics ! Our soldiers are compensated Well and also are respected by everybody ! But you cannot show them as the scapegoat everywhere ! They love the country so they are doing their job!!,NAG
"In my view, dirty cash flow during Election Process can be checkmated if one keeps a close watch upon 2nd & 3rd ranking leaders & helpers - not party workers like personal drivers or typists across spectrum & all banking daily withdraws of around Rs. 20000.00 in relation to their economic, social & political statuses & overall local economic activities of local Economic Heavyweights across economic spectrum & credit bills above Rs. 10000/day of businesses like resturants, event organisers/business houses etcÃƒÂ¢Ã…â€œÃ¢â‚¬Â",CAG
Sickular spotted..,CAG
"Sirf  dialogue pe dialogue aur kuchh nahi ,sab faltu bate NOTE bandi ke bad hamla bad gaya hay   Jai hind",CAG
chalo ek excuse already milgaya pakistan ko #3rdumpire #sourloosers #pak #indvspak #wewillbringitback,NAG
Talk about JOKER brother,NAG
Right brothers,NAG
"You are dumb if you think that, nation building is the responsibility of the
people of the nation.. if they are getting influenced by films and doing wrong
thing the problem is with them not the movie",NAG
When u don't have job that time kapil was there to help u. Now u got some n ur head gone up. And now u r comparing urself with Kapil. This is bad Mr. Sunil. Be a part of this show. N u know there are some compitetor who never want that u come back. May be today is ur day. May be tomorrow is kapil.So sit togather n finish all comflict. Aa u all r our besties.,NAG
so true,OAG
Now stone pelting would start against our army just as a gift ÃƒÂ°Ã…Â¸Ã‹Å“Ã¢â‚¬Ëœ,CAG
He is not a puppet he is highly educated and a learned man I m nothing as compared to him. I experienced nothing wrong happening before the way it is right now. Ppl have to stand in queue with urine bag and disability to beg fr their own money at the ATM N Banks maybe tht is right according to you because u have not yet reached tht stage nor am I but I do have feelings for the old disabled the sick n the innocent. That's all my education n religion teaches me.,CAG
We have seen ur kind of SUR JE KAL strikes so far.......! No need of retaliation hahahahaha,CAG
"Hurraahhh ! ... new plants nursery has been opened in New Bypass Road, Mahipalpur, Near Vasant Kunj E2 Block, New Delhi. For more details visit at our website www.gogreennature.in or call at +91-7838588272.
Go and Grab your best plants from us.
GO GREEN NATURE
www.gogreennature.in",NAG
Sonu sir please don't comment on any religion. Every religion have its own respect so don't mention particular religion if u have problem with loud noise then write on that electronic item........,CAG
Superb movie,NAG
Thanks brother for your good explanation .,NAG
chutzpah at the end #indvspak,NAG
"I am not sure whether this is practical, but if you look at familiar spots frequented by people that will give an idea where it needs to be located. Also no one should be saying 'NO' to use the loo even if it's in private area, that is the way we can keep our environment clean.",CAG
will support if you have guts to take decision of taking digital political contributions...if not other atleast your party start this...,CAG
Eight Years Since Conception Gujarat's GIFT City Struggles to Create Employment https://thewire.in/labour via @thewire_in,NAG
Bro please do a movie review of The joker!,NAG
lo ho gya #kejriwal k cctv ka intezam. #aapsweep #delhi #bjp #modi #arvindkejriwal #indvspak #iplauction #dhoni http://t.co/dcpiofedmf,NAG
Totally a stupid Blunt media is this Indian express,OAG
#mustwatchmsg #wivire #indvspak rega jha #bleedblue #cwc15 kohli life of india.. @newsologic #newsologic http://t.co/kdh1n6p109 ssd,NAG
This kind of killing will go on  till there is terrorists.... So we need to do diplomatic solution....Aswell as military also....,NAG
"polygraph is not perfect, very easy to fool.",NAG
"He is a respectable & responsible leader , we can't forget his service when he was finance minister ,i don't appreciate his pm tenure ,as far as his statement is considered all parties are same engaged in looting innocent janta .",CAG
"Shivam , learn some english before u comment on social media.",OAG
The Undercover Rock Stars excellent work,NAG
Same guy shamed UDF when aadhar was launched... Everything is approximate which anyone can estimate to be any limit..proven data talks and not numbers on speeches.. Income tax is still squeezed from middle class..prices of fuel and other essential commodity is high only,CAG
"Then why you build temple ! You also can prayer at home ! ... Why you play bhajan in loudspeaker daily ! I also can say that it is disturbing me , simple !",CAG
man u  did noting so why i salute u,CAG
Yes u r ryt. But dis is india n will remain like dis.,NAG
BEST GUY U ARE BRO,NAG
