"Her in law should be arrested and but behind bar , Islam believe in equality","OAG"
"Very sad n wrong image of gays are present here. U have never come across
where gays sacrifice their pure emotions n love. Anyway u have good direction
but taking wife life is not right. I expect from u to make some bold n open
minded videos gays showing right image. God bless.","NAG"
"Please make videos in English.","NAG"
"Once you elect a government you must give them five years to manifest something of significance. Only then can the nation move forward. #SadhguruQuotes #IndiaElections2019","NAG"
"MLAs come dime a dozen. Its a shame that this creature could not respect a woman or a police officer or a human being. Maybe if a stray cow was on the road he might have acted more respectfully.","OAG"
"Secure biometric attendance systems online assessment live webcasting automated question banks are some of the features","NAG"
"It is better to you to reveal your RSS double face in public.","CAG"
"Tests of 1998 were a victory of technology & the nation's willpower. Our scientists worked very hard to develop Nuclear Programme","NAG"
"Wow  
Good","NAG"
"As charity begins from Home,  so do the white wash if black money....","CAG"
"So inspite of so much increase In fares","CAG"
"Bcos Muslims law have strict with good behavior with wife and to save them","NAG"
"Killing them for fun is cruel but killing them for food is normal.. There's no hypocrisy. It's just logic...","CAG"
"Effects of demonetization will be clear in coming 6 months but the implementation was very poor","CAG"
"More I read on Kashmiri pundit exodus I feel ashamed of myself. What was I doing in 1991? What had happened to me that I kept watching the direct attack on Hindu civilisation shrinking of Hindu territory culture in its own land? What made me so indifferent to my own identity?","CAG"
"Stupid people, u need to leave Pakistan and surrender yourself with Indian Army, so you can live, live in future.","OAG"
"Lack of understanding about religion.","CAG"
"For those who've been waiting to buy Mi India's Redmi 3S phone.","NAG"
"Salute.... That should be the message to all terrorists....","CAG"
"I agree bro you are right","NAG"
"@kushalbhatt99 it's a 24/7 job. You have to represent your party & speak their official stance not your personal opinion. #iForInitiate","CAG"
"""If you think education is expensive try ignorance.""","NAG"
"Very well dissected video...","NAG"
"Is this the standards of journalism Indian Express practices now..... ????","CAG"
"As if these things didn't happen at all during the goondaraj","CAG"
"salute to this man..did the right thing","NAG"
"What happened to his promise of bringing back Swiss black money back to India. All false promises. What happened with demonetization, could he unearth back money? He gave a chance for all black money holders to convert into white money. Bank were with no money which was held with black money holders. People are fooled..   It's like digging a mountain to catch a small mice.","CAG"
"""When I despair I remember that all through history the way of truth and love have always won. There have been tyrants and murderers and for a time they can seem invincible but in the end they always fall. Think of it - always."" Mahatma Gandhi. Gandhi's India can never be defeated","NAG"
"nice video","NAG"
"@Uday Shatrio yeahÃ°Å¸Ëœâ€¦","NAG"
"Morons... they muted the exhaust note with that pathetic music","OAG"
"You are good good good good","NAG"
"Indians everywhere are contributing in rebuilding the world. That Mission and Commission of 'Vasudhev Kutumbakam' continues","NAG"
"more than his tweet ..News channels are creating more controversies and fights..","OAG"
"Rightly said, all boot lickers are left in this grand old party... No one left to take on the bull by its horns..","CAG"
"....trying to find a place in Indian MEDIA for free publicity. .incompetent person","OAG"
"I truly agree with you brother.  
Btw intro was awesome.","NAG"
"#saysiamaproudchutiyawhodoentknowshitabouthistory . U open your mouth only to become a laughing stock. Go read some real history. Not the brainwashed kind. Then you will appreciate the pigsty that is pakistan","OAG"
"Watched it.. What a Brilliant Romantic Movie after a long time.. Every Actor
has done justice to the character.. Songs are soul of the movie.","NAG"
"Why she is shouting man ? Whats with Gospel Gothic Opera ?","CAG"
"if rapes can happen in an army why cant murders and mutilated bodies be expected...??!!! #indiots_army_drama","OAG"
"You people are allergic. Try to be mindful of your words. We need not necessarily hurt other's sentiments.","OAG"
"Reply ur Instagram dm's","NAG"
"Idiot we can't get our own money from the bank","CAG"
"Nothing wrong in protecting any animal as per indian law but cant admit killing human for the same.","CAG"
"Superb brother","NAG"
"Cheap!","CAG"
"Is'nt this a VIP culture..?  a picture depicts a thousand words. .!!","CAG"
"Both hindus and muslims need to ignore and isolate people of both religion or any other religion who create hatred on religious grounds","OAG"
"Its not petrol... Its crime patrol...","NAG"
"Why are we running behind the West. Although I'm neutral on homosexuality I
find it so sad, it makes me so sad to see my people say accepting
homosexuality takes them towards development and modernity. We should not try
so hard to fit in the west. We are Indian, we should stand back to our own
culture. P.S we are ex British colony so my education was always of English so
I prefer to write in English.","NAG"
"Yeah and you bury seculars with salt .... This was your statement? Right ?","OAG"
"Play this video on Ãƒâ€”1.5","NAG"
"best of luck 2018","NAG"
"Nationalise Jet Airways and merge with Air India to restore the glory of Air India that was before UPA emasculated Air India to favour foreign airlines","OAG"
"Truth","CAG"
"18+ old can vote .but they are not able to under stand this movie ?.....these
kind of movies should come to make them mature.","NAG"
"That'S NOT GOOD","NAG"
"Right right","NAG"
"Homosexuality should be banned","NAG"
"Nice video love is love all people have to understand this.","NAG"
"It's a simple logic guys, villagers or cow owners don't get benefit rearing cows until their natural death, so they had to sell to slaughter house for their benefit, or else left them outside of their own. Who is gonna take care of animals which if of no benefit, and population of cows eventually rises. Do some math guys, think also for those farmers, guys here talking with big mouth does not have those sense of hard work required to rear an animal","CAG"
"And you are selling it to foreigners..","CAG"
"THIS BJP GOVT. SEEMS LAME WHEN IT COMES TO TAKING ACTION AGAINST LEFTIST
LIBTARDS LIKE A.ROY, ITS TIME TO TAKE STRONG ACTION AGAINST DESHDROHI LIKE HER","OAG"
"13.21 here the best part came.","NAG"
"bro my phone has inbuilt speed meter","CAG"
"#indvspak#won'tgiveitback#100#viratkohli....india india!!!","NAG"
"she was not at fault, it conveyed a very wrong msg or I would say video was
too short that it was not able to cover every aspect.","NAG"
"thanks bro for support","NAG"
"As u r blaming few as hindus. Similarly the anti national dids of some r termed as muslims. Both needs rectifications","OAG"
"So you mean Pakistan conducted a surgical strike across the LOC?","OAG"
"But where it goes off certainly make difference.","CAG"
"Black money is not a cash money you idiots ... it is the money in swiss banks ... they don't use 500 rupee 1000 rupee","OAG"
"Congress' appetite for corruption is legendary! From the earth seas till the skies they spared nothing! UP will not accept this any longer","OAG"
"She has a crude attitude but she is also a carnivorous .","OAG"
"keep those 7 without jumping","NAG"
"A person having black money will go to bank or post office and will exhange the notes. Then how does this move going to help curb blackmoney?","CAG"
"@Sonal Sony I m from cg n u","NAG"
"Who let the dogs inn, the hospital.. :) . If any chicken comes to your home would you send it back with greeting or would you cook it..","CAG"
"Open retaliation is must not commando surgical strike operation .
Direct attack on Pakistan is must and kill 1-2 lac soldiers of Pakistan.","CAG"
"Very well said dude, totally agree.","NAG"
"Where has that moron who like a parrot repeated the kept media rant about BJP Govt registering a case against Sadhvi. Was she not acquitted of the false charges by Court in 2017?","OAG"
"They are eMoTiOns","NAG"
"U r giving wrong message about gays","NAG"
"I support the statement. Its doesn't have to be religious every time. I even hate when during durga pujas people put loudspeakers. I remember the time when I had class 12th board exams and one speaker was just beside my room. I used to curse them a lot. People do not speak when a Muslim or a Hindu is dying of hunger or poverty but will now all gang up against sonu nigam. God bless humanity.","CAG"
"Interesting acrobatics. Disallowed then promised to think a week after. Making laughing stock of an institution? Happy World Laughter Day","CAG"
"Tx to Turkey President. we are capable of handling our internal K issue. our politicians are stalwarts n rich experienced. We suggest try to sit with your kurds in turkey n start negotiating peace with them.","CAG"
"How by anti romeo squad? Or bashing by goons in the name of religion.","CAG"
"New innovative cool","NAG"
"All those who have Saffron phobia are going rabid drooling and barking. Terrorist sympathizers are preaching us about terrorism we hale courage shown by #SadhviPragya during her torture years she will win with historical margin #Hindu #SaffronTerror @BJP4India @narendramodi","OAG"
"Superb if normal civilian of India deposits more than 2.5l amount I.t officials may question him but the bail is given to the fraudster who looted thousands of crore loan from banks awesome power and money makes  impossible to possible....","CAG"
"Mr kaleem you and your people will be the first wishing to get the lucky draw .. any good step u condemn but u are the first one to take advantage of the things","CAG"
"Are you sure you are a Muslim or you are just fooling people with your false name. But if you really are you are undoubtedly a 'munafiq'. And may you rot in hell.","OAG"
"good news, now we all can withdraw the useless 2k note which no one has change for, people used to avaid 1k notes due to change issue and now we have 2k notes introduced during a cash crunch .","CAG"
"RSS agent Anna was & is .","CAG"
"Okay Intellectual Mafia time to leave India or going to Pakistan as you had vowed. Don't break the promise","CAG"
"Those who talk of the 'institutional collapse' under Modi need to visit a small town police station and courthouse. I just did. So trust me when I tell you these vital cogs in the justice system collapsed long long ago","CAG"
"Good luck. I am afraid whether it will work or not.","CAG"
"Indian Democracy - highly educated officers have to listen to filthy MLA goons","OAG"
"check khaleej times website ...This news is false","CAG"
"This is a worrying result for Indian democracy. In 2014 a survey revealed over 51% of Indians said democracy meant the will of the majority community (e.g Hindus) should prevail. The next survey looks likely to be higher","CAG"
"Well said dr","NAG"
"Your acting","NAG"
"Electoral bonds funding must be made public; which political party received how much and from whom. This must be a citizen's movement with all political parties supporting it. Or else we will remain a corrupt country in perpetuity being ruled by Big Business in proxy","CAG"
"We have to watch and see how she is going to play in her next tournament after so much fame, money.
Probably relaxed, not much focused...","OAG"
"Or may be, for once, you should look into how real this news really is. Your media is pushing you towards a war the end of which will not be pretty for anyone.","OAG"
"Great Man","NAG"
"Say idiot not MP...","OAG"
"The expression of consent is also a function of culture and social norms. Consent in Bandra maybe expressed very differently than in Budayun. But in court both will be evaluated on the same parameter","NAG"
"Bhakts vs seculars","NAG"
"What a dedication for making review","NAG"
"Awesome","NAG"
"Good job.","NAG"
"she should be arrested","NAG"
"Super man","NAG"
"Offered prayers at the Tirumala Temple. I prayed to Lord Venkateswara for the peace & prosperity of our nation","NAG"
"We follow your words but your network seams to be very slow. Due to that we are facing more teething issues.","CAG"
"I find this whole discussion about Ramzan and elections totally disgusting. This is the kind of distorted and convoluted version of secularism that to me is repulsive revolting and intolerable. EC shouldn't consider it for a second","OAG"
"Why were you silent when your government was looting the nation for 10 years?","CAG"
"Only If you had read the article it clearly says the officer did not act in conformity of the EC. EC guidelines say SPG protectees are exempted from such checking. Your leader & party have proved several times that common sense is not so common and this is yet another occasion","CAG"
"U r a RSS agent already","OAG"
"Very well said...","NAG"
"Such a sold out media, the video was about the 5000 year glorious country we should protect.and here only focus is on half a sentence inside a 13 min video.","OAG"
"Anna is as corrupt as BJP and congress. History will paint him in as dark as the most corrupt.","OAG"
"It will soon vanish from Delhi also then back to Pavilion.","CAG"
"Democracy died","OAG"
"Certainly it is directed to all religions... Curb noise pollution","CAG"
"Best video ever","NAG"
"PM take the crocodiles from the nation out !!
We are with u","CAG"
"What is this,  you can't even spell our Respected PM's name???  #namo","CAG"
"Dictatorship is going on","CAG"
"Poor people are suffering a lot, don't have money to eat,  farmers are in trouble because of your terrible decision","CAG"
"But to be honest I have seen girls who like this kind of individuals","NAG"
"Varanasi will become a rare constituency where d prime campaigner is elected despite being denied 2 hold a rally 2 share his vision 4 d city","NAG"
"ur the digest drama artist I saw in my life .. ur just a puppet.. everyone knows who's the puppet master...","CAG"
"Is it possible
Wtf is this showing","NAG"
"So nice","NAG"
"Have we stupid Indians made our mind to give a befitting reply to porkistan in facebook only... plz wait and we have confidence in our army...","CAG"
"Reason to watch Hollywood","NAG"
"Now this idiot realises truth after being slave of a Single family rule , who destroyed our nation all these years !!!!!!!!!!!!!!!!!","OAG"
"I know hindi","NAG"
"Nice bor","NAG"
"Any amount of colouring, the Lotus will remain colorless.","CAG"
"No foul words pls al of us r decent and ladies r also in d discussions. Pls stick to clean comments. No hatred or bigotry too from anyone. This is seen by lot of people so let us maintain dignity and decorum.","CAG"
"Good","CAG"
"I feel the Govt. Should remove all subsidies, let PSU to do buiness on their own not pressurise them. And beleive in ""Survival of the fittest""","CAG"
"Change your name as well","CAG"
"If sectorial impact (referring to TCS results) would show up at the board level, TCS is the main culprit, for, they failed in value creationÃ°Å¸ËœÂ¡","NAG"
"Hi baby","NAG"
"@iforindiaorg @AnonAjay #iForInnovate Perhaps we should demand videography of all polling booths. Any smarter ideas?","NAG"
"No. India is secular not because Hindus are secular or Muslims are secular but because the constitution is secular","NAG"
"Madam working women make more successful everything !!","CAG"
"Nice bro","NAG"
"i forwarded everything, that old woman said . . . .","NAG"
"KGF analysis plz","NAG"
"Dr. CHAIWALA will be your CM","CAG"
"Looks like a drug addict","NAG"
"Eye opening video","NAG"
"Pakistan has not accepted ICJ like india did in 1999","OAG"
"Slight issue with one of your point, its not a Indian concept entirely.","NAG"
"RIP","NAG"
"bjp n congress  r chips of the same block..","CAG"
"He him self has approved that it was his fault of less Banking environment.... They them self have never encouraged their people to use Bank as mode of payment","NAG"
"It's really nice to know that someone like you are also there... I also just
hate those people but all the people near me think of me as womanizer...","NAG"
"Salute","NAG"
"If exit polls decide the election  results then govt should stop election","CAG"
"This is the procedure every where , be it super liberal USA , in their Army
too Gandus are not allowed openly blare I m a Gandu.  
You r a Gandu ok fine but there is no need to promote it.","NAG"
"Vere nice video sir","NAG"
"How many people died on dat","NAG"
"u join bjp ur fitted","CAG"
"HAhaÃ°Å¸Â¤Â£Ã°Å¸Ëœâ€¦Ã°Å¸Ëœâ€¦Ã°Å¸Ëœâ€¦","NAG"
"Please stop giving the term SAHID for this kind of killings. This is clearly murder due to the weak approach of government. They are useless. Why can't they allow army to take the revenge after killing those rats.","CAG"
"You can't spend an hour with a puppy and rush off to work :x","CAG"
"Secularism is downstream to only one religion in India....if u bash Hinduism then u r secular but if u bash the other religion then u r simply communal !!! part ur ways, intellectuals or rather creep minds on their way out explaining how they r great and we should accept every religion but y do they forget that it goes the both way for everyone.....y come they rant about Hinduism and then no intellectual vl come out and explain to respect that religion too !!! Its all biased in our country...","OAG"
"Brother, one more question : Why do u think being homosexual or gay or lesbian
is not wrong ... is it because of their disabilities, or because of their
choice or something else.","NAG"
"awesome ...","NAG"
"Some newbie parties in the meantime proclaimed ""Change"" but were supported by the IB. In fact one can't form a party in J&K without IB","CAG"
