"And because of u people there is a boundary created between two religion avoid it and proceed ......","OAG"
"NBCC has a very good order book but will that over a period time keep translating in to higher stock value .    ut","NAG"
"This is the reason why this guy has less subscribers than other shitty
channels on this platform  
People nowdays don't want to hear the truth and the one know and talk like him
and has has a viewpoint like him are 1 in 1000","NAG"
"Fool.... 
Not even your government is not worth to print notes with out mistake. 
What hard work is this","CAG"
"Its the government's duty to do that..not for me to suggest nor any use now in doing so.","CAG"
"Already you have joined BJP.","CAG"
"Why give importance to her nonsensical utterances? No talks, only arrest her.","NAG"
"How stupid comment is that. What does she want to express ? Working women treat their kids as puppy. She got married only after completing education so how much she knows about balancing work with family ?? Without knowing things this kind of comment is totally unacceptable.","OAG"
"This is how people die  with so many accidents","NAG"
"NiCE","NAG"
"But it seems the pill got  stuck Ã¬n the throat of the doctor  himself!","CAG"
"Idiots voted them. Let them suffer. I will enjoy the show. :)","OAG"
"Bajaj is an Indian company and I believe this launch is here in India itself otherwise it won't make any sense. Now when in India why in the world should they put these songs we don't understand!","CAG"
"Nice Video","NAG"
"B.F of your son Madam.","OAG"
"These garbage media make him more famous by posting crap news related to him.","OAG"
"Dirty politics plays by Pakistan","OAG"
"Your words is a huge admission that you were, are & will remain irrelevant in this country.  This country no longer supports your version of secularism.","CAG"
"So BAT men killed 'em","CAG"
"Hold on to hope.","NAG"
"Very good video","NAG"
"U are my role model for years 
But u lost it in a minute","OAG"
"time pass minister'","CAG"
"You people are allergic. Try to be mindful of your words. We need not necessarily hurt other's sentiments.","OAG"
"And the #akhlaq killer was draped in #tricolor","CAG"
"Standing ovation to him for reminding us legalized plunder and organized  loot like 2G, Coal, CWG scams :P","CAG"
"The complete message social relationship for young generation movie. Nice
trying","NAG"
"Hello Shwetabh Gangwar sir, I value your opinion.  
In my opinion, I don't blame Bollywood or any external factor.  
It's totally up to us what we watch and what we follow.  
We can't blame others..  
Because Bollywood is making their future and don't care what we are becoming,
and their is nothing wrong with this.  
So it totally depend on us...","NAG"
"Make video about Indian series streaming on Netflix and Amazon prime","NAG"
"Waw, so some news papers decide, narrative. Why u guys jumping gun.
Plz don't forget Americans voted to Donald Trump inspite of so much narrative against him.
Don't decide & paint with your own imaginations, time will decide.","CAG"
"Defence forces still not got 7  CPC","CAG"
"Communist parties killed lacks of opponents in WB in 35 years ruling????? ?","OAG"
"Future looks bleak for India as hindutva forces are ruling the country they want to make situation like Syria and Burma to make muslims refugees in there own country for a petty reason how can riots happen and muslims are told to leave village","OAG"
"Yes.  You already joined RSS??","CAG"
"M HAPPY","NAG"
"nic","NAG"
"Yes - it's a cash based economy so the steps demontization will affect the GDP and future growth. The poor will suffer. Want to chase the black money - go to the Swiss bank","CAG"
"May be China is also involve in terrorism","CAG"
"Watched it.. What a Brilliant Romantic Movie after a long time.. Every Actor
has done justice to the character.. Songs are soul of the movie.","NAG"
"Where the so called secular, now all secular become deaf and dumb.","OAG"
"Do 4th","NAG"
"What nonsense!!","CAG"
"Please brother make review on movie joker which recently came.","NAG"
"This credit goes to not only Telugu film industry , it goes to the Nation","NAG"
"Hey dreamcatcher govt... Just look as to what's happening at the border I.e., LOC. Innumerous soldiers are being martyred every now and then. Stop all this nonsense of feeding milk and water and posting crap on social media and take a resolution or a God's sake plan to step up and do something rightful in need for our brave soldiers who died trying to save our country while we are too much busy doing nothing. Thanks. 
Sincerely,
An indian","CAG"
"Why isn't the government relaxing duties on electric cars, also why isn't there new nuclear power plants?","NAG"
"Thanks boro thanks","NAG"
"You are great brother","NAG"
"Thanks bro","NAG"
"Pakistan has not accepted ICJ like india did in 1999","OAG"
"where is the road ? ....finance minister is travelling on congress roads ? .....","CAG"
"Life is so harsh ....even good deeds at times gives a big loss !!","CAG"
"I have a problem with any religions which forces me to be a part of it. So yeah I support him I'm this issue wholeheartedly.","CAG"
"Sir please sleep","NAG"
"How could they do it? Did they come within Indian Border or Indian forces went there ?","CAG"
"A bunch of nincompoops calling themselves a court.

   Shame on you","OAG"
"One bogus is complaining against the other because of jealousy...","OAG"
"Minimum balance is 5000 to 10k
How it is affordable to rural people?","OAG"
"When Demonitisation takes place it means economic conditions are poor","CAG"
"100% correct well said","NAG"
"Only waiting for this","NAG"
"Very interesting","NAG"
"Finally, ABOUT FUCKING TIME","NAG"
"i also salute him","NAG"
"Truly agree.. I believe working lady can up bring a better independent child. To look after your child you don't really carry them on your lap for the whole day long. It's should be individual choice rather than pulling down and disrespect other's choice.","CAG"
"Yes. Because now bjp has taken charge. Sunny please leave this country else you will be beaten to death.","OAG"
"God bless everyone. I'm not a Hindu but still I can't eat beef. When will this forced religiousness end in India.","CAG"
"Thank god india didn't win 50 medal like USA. Very shame","OAG"
"So funny stupid,,,,,,,,","OAG"
"Nice Brother","NAG"
"Being half IITian( having done only post graduation from IIT,) I can say yes, very much overrated. No output except engineers who mainly serve USA. No cooperation with Some industry or startups and very snobbish know all behaviour of profs. No respect for students who are future.","OAG"
"Every indian has freedom of expression...","CAG"
"Definitely bro","NAG"
"Loot of people's mandate, is it democracy?","OAG"
"How can you abuse south ? Dont cross line they are indian","OAG"
"America n Russia both doing the rt thing n hv common goal...
..
..
..destroy Syria..
..
..
Keep it up","OAG"
"SK Bill Carney I pity ignorance such as yours.","OAG"
