Sentence,Category
Well said sonu..you have courage to stand against dadagiri of Muslims,OAG
"Now question is, Pakistan will adhere to this?",OAG
Pakistan is comprised of fake muslims who does not know the meaning of unity and imposes their thoughts  on others.....all the rascals have gathered there...,OAG
Wondering why Educated Ambassador is struggling to pay through Credit/Debit at a Decent Restaurant! Cant imagine that diplomat of a Developed nation is not having a Card and he needs Cash only for Dinner.,CAG
Not good job.....this guis creating a problem n our socacity,CAG
Communist parties killed lacks of opponents in WB in 35 years ruling????? ?,OAG
Rss is 3 time ban terrorist organization,OAG
"So funny stupid,,,,,,,,",OAG
absolutely! the deeper you dive the shallower cushion you have .,CAG
"Brown Sahib , anti national leftist commies , media and Muslim pandering Hindu sick-O-Lars have milked ""secularism"" to all it was worth to render it into a mere failed slogan . Sick-O-Larism has been nothing more than continuation of British policy of ""divide and rule"" . That RSS is opposed to ""the idea of secularism"" , absolutely  because it has been used as a dagger into the heart of Hindus , Hinduism and Hindustan .",CAG
AAP dont need the monsters like u,OAG
For tht those hv more thn 2 flats or 2 land is legal rest has to surrender properties to govt,CAG
"Oh Pak army or should say porki hijada army whose country didn't excepted the bodies of their dickless coward army during kargil war,army which submitted infront of Indian army in 1971 and east Pakistan became Bangladesh...And hijada army couldn't even save school childrens from merciless killings and Indian forces really  reached Lahore in 1965..",OAG
We want to get rid of u Indians......why don't u hear our loud cries,OAG
"Loot of people's mandate, is it democracy?",OAG
again the same thing in eyes of judiciary he is not terrorist he is accused in our eyes is terrorist and he deserved to killed who ever keep a bad eye on our nation he are she should be killed without no mercy,OAG
This problem is occur only in India not in other countries?,CAG
In government office implement the online transactions... also all parties should show off their account transaction for running their elections in RTI.,CAG
Dramebaaj anna kya bjp ki government aate hi lokpal Bill aur lokpal bhool gaye baat karne Mae sharm bhi nahi aatee,OAG
Unfortunately this is wat indian govt is capable of doing!!!!...i dint vote for modiji to see such crap..,CAG
"it's coward like  u who backstab .... just wait and watch .. u forgot the day when 2 lakh porkis soldier were freed from India ... by the way what r u doing in indian news channel , dont your country have your own channels ?",OAG
People talk about common man suffering all the time.This is the same country where thousands laid their lives for freedom.Cant the common man endure little trouble to stand in queues for the greater good.,CAG
I visited 5 atm but I cont able to withdraw from money..not working..,CAG
"Modi ji,  all the Pain & nÃ¶ Real Gain.",CAG
"Hell with BJP. All political  parties are corrupt and I do not like anyone. They are there to only make money whomsoever you may vote.  But supporting Naxalites who kill our soldiers,  taking side of JNU students who shout ""Bharat ke tukde Katenge"" and Afzhal Guru tere Katil jinda hai and very recent ""there is nothing wrong in chanting Pakistan zhindabad "" are all attributed to this man. Hence he is decidedly antinational.",CAG
It was mobbing the poor girl.... Instead of helping her... Jump into conclusions ....impulsive,OAG
"oh...i get it...he's saying 'screw you bajaj, for making me do this'!",OAG
"udhav has shown bjp its place,bravo shivsena",CAG
Unebeivable atory. Some time back India was wrongly claiming surgical strikes in Pakistan and now claiming surgicam strike  by Pakistan. Wrong again.,CAG
"Tollywood Parbhas Die Heart Fans Where Is Parbhas Acting in Bahubali 2 ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚Bahubali 2 it's Graphics Cartoon Movie Don't Compare Indian Cinema Bollywood Movies Khan Acting Aamir , Salman & Shahrukh Acting",CAG
Shame shame & then these lowly so called educated civilised popation of Pakistan claim Pakistani army to be professional soldiers .... They true are professionals but are professional terrorists ..... Certainly not soldiers .... Not only India & Indians but the global world is now understanding & recognising them as professional terrorists.,OAG
"Haram - Pig
Pig - Scavengers
Scavengers - Eat dead
Harm Dead - Mutilation
Mutilation - Pakistan
Pakistan - Pig",OAG
People will be happy if they have at 2 km,CAG
"Where is Intolerance indian Groups ....Where is all.khan ....
Amir khan muslim...on talking Every thinks....",OAG
Tweet or Hate ??,CAG
Indian Express found Shirish Kunder more acknowledgeable personality    for front page news --- This is where standard of Indian express gone down -- Oh I forgot Wife of Sitaram Yachur is resident editor of Indian Express --- Then it is ok,CAG
#ENTERTAINMENT | Karan Johar might have Justin Bieber to kick off the sixth season of #KoffeeWithKaran.,CAG
But that's hypothetical. BJP will never win.,CAG
Pakisthan has got no guts to admit any thing true....liars,OAG
I'm not a salman fan mate but i think you are a fan of zee news nano chit in 2000 notes and lets not talk about intellect here coz people who have low intellect judge people based on their choices,CAG
But lynching was never a part of the freedom struggle but how can the chaddis who were always chamchas of the British know that?,CAG
Sham on you,OAG
"Dear India,  stop playing with the emotions of your people for votes.",CAG
Anna hazare is agent,CAG
Ask the khans to do it... Any ways they kill them when drunk.... And then start with being human,CAG
"You can be sure that the gunman was a white American (christian and not a muslim), otherwise the headline would read ""muslim"" and not ""Beer-drinking"" as the first word.  There would be more calls for Trump's  ""muslim ban"", which the world's laughing stock has failed to implement - but will the great Orange One now call for a ""Beer-drinking ban""?",CAG
If you cannot do any good for your country   at least support those who are trying to do something better for country. Today whole world recognise India just because of Modi.,CAG
"And these are the people promising not banning beef in the North East, hypocrisy at its best.",OAG
You should not take this guy seriously.After all his only contribution is producing three children.,OAG
