Sentence,Category
Now u will see the reaction which have never been heard from Indian side .Pakistan has already broken in to parts now U will see Pakistan in world map understand .Pakistan have left his own soldiers in ladakh have u forgot it,CAG
printing new notes cost money and those banned costed and was all waste .. why dosent he get forign bank details of his political party people,CAG
Sonu is a jobless singer now...So his desperation come out to this comment...His sleep either day or night is not normally .....Now he is a road singer ....,OAG
That moron who said **bevkoof hai Jo support kartay hai** screw you Ã°Å¸Â¤Â¯Ã°Å¸ËœÂ ,NAG
Good neus,NAG
Call me for phn sex 7001807655,NAG
Totally wrong decision,OAG
Love it,NAG
Its the same with Hindu's as well. Dont take his tweet seriously. Insteas read comments of others and know not everyone is like him.,CAG
"Delhi Police can't update itself as those politicians use to do so quickly .
Khaki ! Irani has been removed from HRD .. Bassi is light year away .. Courts have no cases against boys ..
But mindless will stay dumb as ever .",CAG
"Sir Its New India... For All Parties Its Impossible To Match Modi So Easy Way Is Defame Them By any Means....
But Unfortunately The More They Do The More They getting Lowered!!!",CAG
Is it not gundaaraj in bjp ruled jharkhand?,CAG
Honest,NAG
U r ri8 bro,NAG
Nice Actress,NAG
What's wrong with muslims.it's impossible for any country to live with them.the country who accepted these people are now facing terror,OAG
@THE DARSHAN RAVAL can I ask why?,NAG
"Hahaha, bro it's not me who told this ?It's ISPR",NAG
Thanks for this video....,NAG
"Seems intelligence and security r at lowest. Certainly not competent governance. 
Big talks but no evidence of any plan or action to combat paki aggression or/and terrorist 
attacks. Poor poor poor.",OAG
Coming of age? So much praise for this performance and people used to  made fun of us when we just scored marks to eligible for grace marks.,OAG
Indian express did it again ...have some moral please,CAG
"Bhakt itself got the tag of ISI agent , so I don't think they are in a position to call others anti National...",CAG
"If it were true, we wud hav also condemn those clerics... This girl is unnecessary projecting herself as victim card and gaining publicity",OAG
"It's India who not only mutilate dead bodies of soldiers but also kill it's own soldier to play victim card it's example is Pathankot , Pakistani Armed forces respects dead body , Do you think Pakistan Armed forces are stupid who mutilate soldiers and handed over to Indian Army so that they can play victim card ????????????????????????   It's just dirty mindset of indian army",OAG
Azam may feel  Ã°Å¸ËœÂ´  tired  after election  !,CAG
sugar stocks are off 10% from high >is dwarikesh; dalmiasug a buy?,NAG
