Sentence,Category
This old man has nothing in his mind. He doesn't understand politics in India. Whatever little success he got earlier was because of AK and other. Now try to  agitate for Jonlokpal. BJP will crush you.  Doesn't have courage to stand up and speak against BJP.,CAG
"Congratulations Bmp & Modiji, Please do something to develop India, Except good speeches",CAG
"Excellent! So what's his plan ? Relocating to Sukma or be Kanhaiya's, Shehla's, Omar's prof in JNU or relocating to Pakistan ? We have to know. National security is very important",CAG
Please forgive us Modi. We cant take more jumlas.... enough!,CAG
"In India, one can utter anything against Islam and Muslims or criticise them for his/her revival....... Cuz he/she knows that modi-fied political stunt separating hindu Muslims. And this will proved to be helpful for re-gain.",OAG
"Very good decision by Bjp about yogi jee , It is time to show how much  his capacity and caliver ego about country .",NAG
"Her in law should be arrested and but behind bar , Islam believe in equality",OAG
We admired Didi for the way she fought the Left. People of Bengal expected Poriborton but nothing has changed in last 3 yrs only Didi has,CAG
Nice dada,NAG
"cycle pedal price -150 to 250 ..others,   snap deal price -199 , gymming cycle pedal starts -5000 rupees in snap deal-kunal would you like to play base ball with me",NAG
"Very sad n wrong image of gays are present here. U have never come across
where gays sacrifice their pure emotions n love. Anyway u have good direction
but taking wife life is not right. I expect from u to make some bold n open
minded videos gays showing right image. God bless.",NAG
Please make videos in English.,NAG
V r with modiji,NAG
Once you elect a government you must give them five years to manifest something of significance. Only then can the nation move forward. #SadhguruQuotes #IndiaElections2019,NAG
The advertisers shud be in trouble. Bt condoms & actors shud nt b.,CAG
Please joker reviewÃ°Å¸â„¢ÂÃ°Å¸â„¢ÂÃ°Å¸â„¢ÂÃ°Å¸â„¢ÂÃ°Å¸â„¢Â,NAG
dekhiye indore ke shopkeeper ka #peptalk for dhawan on anger management : http://t.co/v1ub7uwh6m #indvsuae,NAG
MLAs come dime a dozen. Its a shame that this creature could not respect a woman or a police officer or a human being. Maybe if a stray cow was on the road he might have acted more respectfully.,OAG
"INDIA TV, how dare u to compare Cow with Animals, Cow is Godess, Gou mata",CAG
Secure biometric attendance systems online assessment live webcasting automated question banks are some of the features,NAG
It is better to you to reveal your RSS double face in public.,CAG
Tests of 1998 were a victory of technology & the nation's willpower. Our scientists worked very hard to develop Nuclear Programme,NAG
"Mr Modi: ""entire communities shouldn't be tarred with the same brush of criminality"". http://thehindu_com/opinion/op-ed/in-search-of-a-home-away-from-home/article5979240_ece Humane analysis from @TheHindu",NAG
"Wow  
Good",NAG
"As charity begins from Home,  so do the white wash if black money....",CAG
So inspite of so much increase In fares,CAG
Bcos Muslims law have strict with good behavior with wife and to save them,NAG
Killing them for fun is cruel but killing them for food is normal.. There's no hypocrisy. It's just logic...,CAG
CorrectÃ¢ÂÂ¤,NAG
"He is a respectable & responsible leader , we can't forget his service when he was finance minister ,i don't appreciate his pm tenure ,as far as his statement is considered all parties are same engaged in looting innocent janta .",CAG
"Kashmir was independent before partition and it remained independent till now.
Please indians read the contract of kashmir with India. India was only allowed
2 things  
1- Defense  
2- Currency",NAG
"Sonu nigam is facing mentally problem's
So ignore this guys",OAG
"Why is this video not trending where as the video ""not a film review is"".
Thankgod someone spoke for the good in Kabir Singh.",NAG
Ayusman Khurana rocks,NAG
"THERE IS NO PLACE FOR U IN AAP
CAUSE THEY HONEST AND HARD
WORKING PEOPLE NOT OPPORTUNIST LIKE U",OAG
Moni Singh there is no race so there is no  challenge. But you are just a pathetic case of  aggressive and destructive feminism,OAG
One way of testing the claims of both sides would be for Modiji to fight Rahul in Wayanad. And for Priyanka to fight Modiji in Varanasi,NAG
Effects of demonetization will be clear in coming 6 months but the implementation was very poor,CAG
"Is any soldier has taken name of our PM? If no, How this print media uses these words?",CAG
Better ask PM Modi because before becoming PM he was talking BIG things of destroying Pakistan & now why is he keeping quite.,CAG
More I read on Kashmiri pundit exodus I feel ashamed of myself. What was I doing in 1991? What had happened to me that I kept watching the direct attack on Hindu civilisation shrinking of Hindu territory culture in its own land? What made me so indifferent to my own identity?,CAG
"As Nithin Gadkari said; ""if criminals enter the party, we lessen their faults and increase their merits"". The act qualifies him to Share the stage with Yogi Adithyanath. To empower the criminals to rule the nation is extremely patriotic act.  Pray that rest of parties don't follow BJP in this regard.",CAG
"One of worst CM .... always sleeping.... when he opened his mouth only Dalit , Muslim wards came ... ch***ya ...no value Hindu people in Karnataka....he using low cast people as vote bank ....10 RSS & 5 BJP karykarta dead till now ... Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡
After Jammu, WB , Kerala.... Karnataka is the most affected jihadi activities",OAG
Dude concept videos are fan made not apple made so don't comment if you don't know anything and lunch nhi hoga launch hoga iphone,OAG
"Yet another googly has been bowled by modi ji, one thing is sure you never know about the moves when modi ji is around.",NAG
"Stupid people, u need to leave Pakistan and surrender yourself with Indian Army, so you can live, live in future.",OAG
Setting new standards in journalism! Do these chaps operate out of Rahul Gandhi's dog house?,CAG
Indian secularists condemn Hindu fundamentalism but not Muslim fundamentalism: @taslimanasreen to me: http://ibnlive_in_com/news/indian-secularists-are-too-selective-in-their-protests-taslima-nasrin/452677-40-100_html. 1030pm,OAG
Lack of understanding about religion.,CAG
Dhan GuruNanak heartless parent,OAG
For those who've been waiting to buy Mi India's Redmi 3S phone.,NAG
"He is jobless and need limelight 
And I didn't understand why people calling him sir with a cheap mentality...",OAG
Labour-intensive based manufacturing is what we missed many years ago: CEA,NAG
"Dont expect
Our government is only having 56 inch seena limited to election campaign.
Worst Government when it comes to soldiers security",OAG
"Gut-wrenching account of irrationality injustice on a monumental scale ""For Bengali Muslims Whose Names Are in the NRC the Struggle Isn't Over Yet""",CAG
Hazare shaab..Now your party is ruling and u can't find Corruption ...???? you may get up 2019 for next protest.. until you can continue your sleep,CAG
Salute.... That should be the message to all terrorists....,CAG
I agree bro you are right,NAG
@kushalbhatt99 it's a 24/7 job. You have to represent your party & speak their official stance not your personal opinion. #iForInitiate,CAG
No wordÃ°Å¸Â¤Â£Ã°Å¸Â¤Â£,NAG
How many times have ur history books been rewritten Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š,CAG
Bjp poorimakkal are muderers,OAG
"BJP's arrogance, and who is responsible ?  People in millions hv voted for Modi. Nw face d music.",CAG
"""If you think education is expensive try ignorance.""",NAG
Very well dissected video...,NAG
One of the RW Con-institution experts speaking about Article 370. This expert says Kashmiris don't pay tax. This lady must be arrested for deliberately spreading fake news and communal hatred,OAG
F*** u indian xpress... Wtf r u publishing? Y not sharing dhoni is having breakfast?,OAG
Is this the standards of journalism Indian Express practices now..... ????,CAG
As if these things didn't happen at all during the goondaraj,CAG
For long India's National Security's been held hostage by diplomats w/skewed sense of national interest About time real ops man takes charge,CAG
"sena rss will be disappeared, when congress back in powers again.",OAG
salute to this man..did the right thing,NAG
U people only show off.... do something u can show to the world hahahaha,CAG
"What happened to his promise of bringing back Swiss black money back to India. All false promises. What happened with demonetization, could he unearth back money? He gave a chance for all black money holders to convert into white money. Bank were with no money which was held with black money holders. People are fooled..   It's like digging a mountain to catch a small mice.",CAG
"""When I despair I remember that all through history the way of truth and love have always won. There have been tyrants and murderers and for a time they can seem invincible but in the end they always fall. Think of it - always."" Mahatma Gandhi. Gandhi's India can never be defeated",NAG
nice video,NAG
Pratik Bhai u nailed it. Best video of your channel.,NAG
@Uday Shatrio yeahÃ°Å¸Ëœâ€¦,NAG
Such a shame they even cant find groceries in big bazar or in spencers,OAG
Firest n biggest terrorist in free india waz goddse .y some try to build mandir in hi name.,OAG
Morons... they muted the exhaust note with that pathetic music,OAG
You are good good good good,NAG
Indians everywhere are contributing in rebuilding the world. That Mission and Commission of 'Vasudhev Kutumbakam' continues,NAG
more than his tweet ..News channels are creating more controversies and fights..,OAG
This man has killed more poor indians in his 50 days then Pakisthani killed Indian jawan in last one year in Kashmir. This demonetization show is nothing but a big strategy to influence on UP election.,CAG
While Kashmiris outside Kashmir continue to suffer and Governor @tathagata2 asking for their total boycott PM Modi refuses to appeal for calm or prevent revenge attacks on them,OAG
"Rightly said, all boot lickers are left in this grand old party... No one left to take on the bull by its horns..",CAG
....trying to find a place in Indian MEDIA for free publicity. .incompetent person,OAG
"Hi, any reason on Axis bank rally which turns bank nifty on",NAG
"I truly agree with you brother.  
Btw intro was awesome.",NAG
I agree with you all r mad.. But you arenot,NAG
#saysiamaproudchutiyawhodoentknowshitabouthistory . U open your mouth only to become a laughing stock. Go read some real history. Not the brainwashed kind. Then you will appreciate the pigsty that is pakistan,OAG
"Watched it.. What a Brilliant Romantic Movie after a long time.. Every Actor
has done justice to the character.. Songs are soul of the movie.",NAG
Why she is shouting man ? Whats with Gospel Gothic Opera ?,CAG
"Best Reply to feminists & liberals .....!!  
[#kabirsingh](http://www.youtube.com/results?search_query=%23kabirsingh) is a
Best Movie....",NAG
"Pratik Bhai please watch aravinda sametha movie in zee5 and upload the review
please I want to know your point of view on this film as I've addicted to your
videos",NAG
BJP doing all this to defame AAP more..... NOTHING ELSE .,OAG
"Ye video kisi bhi political party se kaafi upr h, its just you media can't see it but we people do. So just stop feeding the society whatever you want we know whats right!!",CAG
if rapes can happen in an army why cant murders and mutilated bodies be expected...??!!! #indiots_army_drama,OAG
You people are allergic. Try to be mindful of your words. We need not necessarily hurt other's sentiments.,OAG
Bollywood is lucky to have a brave actor like kangana...,NAG
"Arnab, its good to expose the pseudos. However, NRC will be a big flop show as
the bureaucracy is corrupt, and they'll goof up the whole exercise. I however
support CAA as the people who took shelter in India due to religious
persecution cannot go back, especially Hindus.",NAG
(How about gifting DiDi a dictionary?) @ndtvvideos: After Calling Modi 'Donkey' Mamata Now Calls Him 'Danga babu',OAG
"chalo lets see aapna vasai boy ""swapnil patil"" for uae #indvsuae #cwc15",NAG
Reply ur Instagram dm's,NAG
Idiot we can't get our own money from the bank,CAG
Best video .. keep it up Ã°Å¸â€˜Â,NAG
"Mr saravanan balakrishnan 
Is it the way you tont a person with his religion? 
Don't try to devide the country in religious  lines.",CAG
Ribak Imdat EVM fraud... LOL... If #AAPTARDS still believe that was the reason for Delhi and Punjab loss.... Then you are true to your name....,CAG
